transaction,merchant,amount,label
MACY'S STATION #<NUM> CHICAGO OUTLET #<NUM>,,,shopping
KFC STATION #<NUM> BOSTON CENTER #<NUM>,,,dining
NATIONAL GRID <NUM> PAY,,,utilities
CITY ELECTRIC CO MARKET #<NUM> PHOENIX STORE #<NUM>,,,utilities
SPOTIFY DEPOT #<NUM> AUSTIN <NUM>,,,other
city electric co retail #88 boston - hq,,,utilities
lyft market #<NUM> boston ny tx,,,other
WATER WORKS LTD TX<NUM>,,,utilities
ENERGYCO DEPOT #<NUM> HOUSTON POS <NUM>,,,utilities
Trader Joe'S Outlet #<NUM> Ny Den Tx DB,,,groceries
TEXACO STORE #4 PHOENIX TX<NUM> PAYMENT,,,fuel
Spotify Market #<NUM> Seattle Pos <NUM>,,,other
STEAM DEPOT #<NUM> SEATTLE - HQ PAY,,,other
Costa Coffee Ny Tx,,,dining
Aldi Outlet #42 Boston Chi Tx,,,groceries
PIZZA HUT DEPOT #<NUM> NY LA <NUM>,,,dining
Walmart Grocery Station #<NUM> Phoenix Outlet #<NUM> CR,,,groceries
Mobil Center #<NUM> Houston <NUM> PAY,,,fuel
Circle K Retail #<NUM> La Chi <NUM>,,,fuel
uber tx<NUM>,,,other
Netflix Market #<NUM> Phoenix Store #<NUM> CR,,,other
veriozn hq #<NUM>,,,utilities
KROGER DEPOT #80 PHOENIX STATION #<NUM>,,,groceries
Nordstrom Store #73 Houston Den Tx POS,,,shopping
Internet Provider - Center PAYMENT,,,utilities
Costco Wholesale Market #<NUM> Houston Tx<NUM>,,,shopping
blue apron outlet #<NUM> phoenix <NUM> CR,,,dining
Amazon Outlet #<NUM> Boston Tx<NUM> PAY,,,shopping
pizza hutretail #<NUM> boston - store,,,dining
Amazon Center #<NUM> Miami <NUM> CR,,,shopping
STARBUCKS AUS TX,,,dining
Kroger <NUM> ONLINE,,,groceries
Trader Joe'S Outlet #<NUM>,,,groceries
uber depot #<NUM> phoenix - market PAY,,,other
comcast station #<NUM> miami sea tx,,,utilities
Sunoco Hub #9 Phoenix <NUM> Tx<NUM>,,,fuel
aldi market #<NUM> phoenix - store PAYMENT,,,groceries
exxon outlet #<NUM> phoenix pos <NUM>,,,fuel
Steam Outlet #<NUM> Phoenix - Station,,,other
stripe retail #<NUM> phoenix station #<NUM>,,,other
Heb Market #<NUM> Phoenix Bos Tx,,,groceries
Pizza Hut Branch #<NUM> Boston La <NUM>,,,dining
Chevron Sea <NUM>,,,fuel
Texaco Branch #<NUM> Ny - Station,,,fuel
internet provider store #<NUM> houston outlet #<NUM>,,,utilities
stop & shop retail #<NUM> dnever tx<NUM>,,,groceries
Uber Station #<NUM> Boston Pos <NUM>,,,other
Paypal Mia <NUM>,,,other
Heb Mia <NUM>,,,groceries
SPOTIFY STATION #47 CHICAGO BOS <NUM>,,,other
trader joe's outlet #<NUM> houston station #<NUM>,,,groceries
SOUTHERN ELECTRIC BRANCH #<NUM> SEATTLE CENTER #<NUM>,,,utilities
shell outlet #<NUM> la <NUM> tx<NUM>,,,fuel
ENERGYCO CENTER #<NUM> PHOENIX LA TX PAY,,,utilities
kfc station #<NUM> boston pos <NUM>,,,dining
BLUE APRON CENTER #<NUM> CHICAGO <NUM>,,,dining
pizza hut retail #<NUM> chicago - branch,,,dining
national grid depot #<NUM> denver - branch POS,,,utilities
LIDL HUB #<NUM> BOSTON BRANCH #<NUM> MOBILE,,,groceries
BLUE APRON MARKET #<NUM> BOSTON MIA TX,,,dining
STEAM DEPOT #<NUM> PHOENIX BOS <NUM>,,,other
Bp Branch #<NUM> Boston Station #<NUM>,,,fuel
Netflix Ny Tx,,,other
STEAM TX<NUM>,,,other
National Grid Depot #<NUM> Denver Store #<NUM>,,,utilities
LIDL MARKET #<NUM> DENVER MIA TX,,,groceries
Lidl Hub #<NUM> Boston Tx<NUM>,,,groceries
Bp Center #<NUM>,,,fuel
Energyco Center #<NUM> Ny Tx<NUM> PAYMENT,,,utilities
Texaco Pos <NUM> AUTO,,,fuel
Paypal - Station,,,other
BESTBUY HOU TX,,,shopping
STOP & SHOP <NUM> TX<NUM> EBILL,,,groceries
ARCO OUTLET #<NUM> LA POS <NUM>,,,fuel
STRIPE RETAIL #<NUM> PHOENIX SEA <NUM> DB,,,other
Walmart - Market,,,shopping
uber station #<NUM> miami hq #<NUM>,,,other
Burger King Depot #<NUM> Miami Center #<NUM>,,,dining
LIDL RETAIL #<NUM> NY BOS <NUM>,,,groceries
Walmart Center #<NUM> Austin Center #<NUM>,,,shopping
Kfc Hou <NUM>,,,dining
WATER WORKS LTD STORE #<NUM> NY - OUTLET MOBILE,,,utilities
Sunoco Branch #<NUM> Austin - Branch DB,,,fuel
STOP & SHOP OUTLET #<NUM> CHICAGO OUTLET #<NUM> DB,,,groceries
LIDL HUB #<NUM> SEATTLE <NUM>,,,groceries
Kroger Depot #80 Phoenix - Market D,,,groceries
nordstrom outlet #<NUM> la <NUM>,,,shopping
trader joe's outlet #<NUM> houston <NUM> CR,,,groceries
Lyft Market #<NUM> Boston <NUM> DB,,,other
Arco Outlet #<NUM> La <NUM> Tx<NUM>,,,fuel
MOBIL CENTER #<NUM> HOUSTON MIA TX DB,,,fuel
NETFLIX MARKET #<NUM> POHENIX TX<NUM>,,,other
Apple Itunes Outlet #<NUM> Denver Pos <NUM>,,,other
spotify branch #3 la la <NUM>,,,other
Whole Foods Cafe Market #<NUM> Austin Mia Tx,,,dining
Steam Station #<NUM> Boston Branch #<NUM>,,,other
Pizza Hut Retail #<NUM> Chicago <NUM> Tx<NUM> MOBILE,,,dining
Walmart Retail #66 Houston Bos <NUM>,,,shopping
lidl market #<NUM> seattle aus <NUM> AUTO,,,groceries
City Electric Co Retail #88 Boston Tx<NUM> DB,,,utilities
Lidl Hub #<NUM> Seattle - Center PAYMENT,,,groceries
Exxon La Tx AUTO,,,fuel
Costa Coffee Station #<NUM> Miami Outlet #<NUM> EBILL,,,dining
GAS COMPANY TX<NUM>,,,utilities
exxon market #<NUM> la - branch,,,fuel
exxon store #<NUM> boston outlet #<NUM>,,,fuel
At&T Outlet #<NUM> Seattle Chi <NUM>,,,utilities
uber station #<NUM> miami store #<NUM> PAY,,,other
heb pos <NUM> AUTO,,,groceries
Circle K Station #<NUM> Houston - Branch ONLINE,,,fuel
Exxon Market #<NUM> La Pos <NUM>,,,fuel
trader joe's pos <NUM> PAYMENT,,,groceries
Verizon Branch #<NUM> Denver Aus <NUM> DB,,,utilities
Amazon Hub #63 Miami Pos <NUM>,,,shopping
MOBIL BRANCH #<NUM> AUSTIN <NUM> TX<NUM> DB,,,fuel
7-Eleven Fuel Station #<NUM> Seattle <NUM>,,,fuel
AIRBNB CHI <NUM>,,,other
STOP & SHOP HUB #<NUM> BOSTON - OUTLET,,,groceries
At&T Chi <NUM>,,,utilities
STRIPE RETAIL #<NUM> PHOENIX - HQ MOBILE,,,other
blue apron store #<NUM> la <NUM> tx<NUM> POS,,,dining
Shell La <NUM>,,,fuel
STOP & SHOP BRANCH #<NUM>,,,groceries
amazon market #3 chicago pos <NUM>,,,shopping
WALMART <NUM>,,,shopping
GAS COMPANY STATION #<NUM> BOSTON - CENTER,,,utilities
Publix Center #96 Miami <NUM>,,,groceries
Safeway Branch #<NUM> Boston Den Tx ONLINE,,,groceries
Chipotle Retail #<NUM> Ny <NUM>,,,dining
Amazon Outlet #<NUM> Seattle Den <NUM>,,,shopping
Netflix Market #<NUM> Phoenix - Outlet,,,other
TARGET DEPOT #<NUM> CHICAGO - CENTER PAYMENT,,,shopping
Kfc <NUM> Tx<NUM>,,,dining
Paypal Store #<NUM> Phoenix Phx Tx AUTO,,,other
internet provider <NUM> tx<NUM> PAYMENT,,,utilities
Lyft Branch #<NUM> Boston <NUM> Tx<NUM> DB,,,other
INTERNET PROVIDER STATION #<NUM> LA TX<NUM>,,,utilities
Pizza Hut Branch #<NUM> Boston - Market ONLINE,,,dining
MOBIL DEPOT #<NUM> CHICAGO <NUM>,,,fuel
AT&T MARKET #<NUM> PHOENIX <NUM>,,,utilities
Gas Company Branch #<NUM> Denver Tx<NUM>,,,utilities
Pizza Hut Branch #<NUM> Boston Pos <NUM>,,,dining
HOME DEPOT OUTLET #<NUM> NY - CENTER AUTO,,,shopping
Walmart Market #<NUM> Ny Tx<NUM>,,,shopping
NATIONAL GRID DEPOT #<NUM> DENVER POS <NUM>,,,utilities
WLMART GROCERY MIA <NUM> PAY,,,groceries
LIDL MARKET #<NUM> SEATTLE <NUM> TX<NUM>,,,groceries
AMAZON MARKET #3 CHICAGO TX<NUM>,,,shopping
Dunkin' Outlet #<NUM> Austin - Store PAY,,,dining
Cafe Nero Outlet #<NUM> Austin - Station,,,dining
Uber Station #<NUM> Chicago - Store ONLINE,,,other
Sunoco Hub #<NUM> Austin Phx Tx,,,fuel
Exxon Sea <NUM> EBILL,,,fuel
WALMART NY TX,,,shopping
LIDL STORE #<NUM> AUSTIN <NUM> TX<NUM> ONLINE,,,groceries
Macy'S Depot #<NUM> Phoenix - Outlet,,,shopping
Etsy Pos <NUM> POS,,,shopping
Safeway Branch #<NUM> Boston Pos <NUM>,,,groceries
costco wholesale - hq POS,,,shopping
Home Depot Station #<NUM> Houston - Store EBILL,,,shopping
PUBLIX CENTER #96 MIAMI STORE #<NUM>,,,groceries
STOP & SHOP OUTLET #<NUM> CHICAGO STORE #<NUM>,,,groceries
KFC STORE #<NUM> MIAMI <NUM> TX<NUM>,,,dining
HEB MARKET #<NUM> PHOENIX PHX TX,,,groceries
Amazon Market #3 Chicago <NUM> Tx<NUM>,,,shopping
VERIZON BRANCH #<NUM> DENVER MIA <NUM>,,,utilities
Publix Branch #<NUM> Denver - Branch,,,groceries
7-Eleven Fuel Store #95 Phoenix Hou <NUM>,,,fuel
Blue Apron Outlet #<NUM> Chicago <NUM>,,,dining
Aldi - Station,,,groceries
Circle K Hub #<NUM> Miami Mia Tx POS,,,fuel
cafe nero hub #<NUM> phoenix den <NUM> POS,,,dining
Circle K Hub #<NUM> Miami Pos <NUM> EBILL,,,fuel
WALMART LA TX,,,shopping
nordstrom retail #<NUM> austin - hq,,,shopping
Water Works Ltd Retail #<NUM> MiamiP os <NUM>,,,utilities
bp depot #<NUM> ny <NUM> tx<NUM> ONLINE,,,fuel
Chevron Store #<NUM> Houston Tx<NUM> MOBILE,,,fuel
BESTBUY DEN <NUM> PAYMENT,,,shopping
Dunkin <NUM> Tx<NUM> AUTO,,,dining
WHOLE FOODS MARKET HUB #<NUM> PHOENIX HOU TX CR,,,groceries
COMCAST OUTLET #<NUM> MIAMI <NUM> TX<NUM> EBILL,,,utilities
Paypal Tx<NUM>,,,other
INTERNET PROVIDER DEPOT #<NUM> AUSTIN HQ #<NUM>,,,utilities
COSTCO WHOLESALE MARKET #<NUM> HOUSTON DEN <NUM>,,,shopping
Cafe Nero Station #<NUM> Ny Pos <NUM>,,,dining
Amazon Hub #63 Miami Mia Tx,,,shopping
City Elecrtic Co Station #<NUM> La Ny <NUM>,,,utilities
Arco Store #<NUM> Phoenix Hou Tx CR,,,fuel
At&T Depot #<NUM> Chicago <NUM> Tx<NUM>,,,utilities
home depot store #<NUM> la market #<NUM>,,,shopping
trader joe's ou tx,,,groceries
Pizza Hut Store #<NUM> Boston Market #<NUM> ONLINE,,,dining
Chevron Center #<NUM> La - Store,,,fuel
PIZZA HUT BRANCH #<NUM> BOSTON AUS <NUM> EBILL,,,dining
CITY ELECTRIC CO MARKET #<NUM> PHOENIX <NUM> TX<NUM>,,,utilities
MACY'S OUTLET #<NUM> POS,,,shopping
Macy'S Station #<NUM> Chicago Sea Tx,,,shopping
Trader Joe'S Outlet #<NUM> Houston Den Tx,,,groceries
Kroger <NUM> DB,,,groceries
target outlet #<NUM> la tx<NUM> ONLINE,,,shopping
Apple Itunes Hub #<NUM> Boston Chi Tx PAYMENT,,,other
BP HUB #<NUM> AUSTIN DEN <NUM>,,,fuel
Cafe Nero Hub #<NUM> Phoenix Den <NUM>,,,dining
MACY'S STATION #<NUM> CHICAGO CHI TX,,,shopping
COMCAST DEPOT #30 AUSTIN BOS <NUM> EBILL,,,utilities
GAS COMPANY BRANCH #<NUM> HOUSTON HOU TX,,,utilities
aldi market #<NUM> phoenix aus tx CR,,,groceries
CAFE NERO CENTER #<NUM> HOUSTON <NUM>,,,dining
Starbucks Market #<NUM> Chicago Tx<NUM> PAYMENT,,,dining
Macy'S Store #<NUM> Denver - Branch,,,shopping
STOP & SHOP OUTLET #<NUM> CHICAGO BRANCH #<NUM> PAYMENT,,,groceries
Spotify Market #<NUM> Seattle Chi <NUM> AUTO,,,other
texaco aus tx,,,fuel
at&t market #<NUM> seattle pos <NUM> EBILL,,,utilities
COMCAST TX<NUM> PAYMENT,,,utilities
Circle K Station #<NUM> Houston - Store EBILL,,,fuel
Cafe Nero Hub #<NUM> Phoenix Mia <NUM>,,,dining
National Grid Market #<NUM> Ny - Market,,,utilities
Spotify Branch #3 La Den <NUM>,,,other
Lidl Retail #<NUM> Miami Pos <NUM> PAY,,,groceries
kroger - branch EBILL,,,groceries
Cafe Nero Center #<NUM> Seattle - Station ONLINE,,,dining
LYFT RETAIL #<NUM> HOUSTON <NUM> TX<NUM>,,,other
COMCAST BRANCH #<NUM> SEATTLE POS <NUM> PSO,,,utilities
Cafe Nero Hub #<NUM> Phoenix Chi Tx POS,,,dining
Ikea Chi <NUM>,,,shopping
7-Eleven Fuel Pos <NUM>,,,fuel
verizon <NUM> tx<NUM>,,,utilities
costco wholesale hub #<NUM> la la <NUM> MOBILE,,,shopping
TEXACO <NUM>,,,fuel
CAFE NERO OUTLET #<NUM> NY HOU TX,,,dining
bp hub #<NUM> austin <NUM>,,,fuel
Energyco Center #30 Austin <NUM>,,,utilities
NETFLIX TX<NUM>,,,other
Walmart Grocery - Station,,,groceries
internet provider center #<NUM> denver - branch,,,utilities
taregt depot #<NUM> chicago <NUM>,,,shopping
Target Outlet #<NUM> La - Hq,,,shopping
PIZZA HUT RETAIL #<NUM> CHICAGO <NUM> TX<NUM>,,,dining
Costco Wholesale Hub #<NUM> Boston Mia Tx,,,shopping
paypal outlet #<NUM> denver - center,,,other
Comcast Branch #<NUM> Seattle Pos <NUM>,,,utilities
Cafe Nero Outlet #<NUM> Ny Market #<NUM>,,,dining
INTERNET PROVIDER STORE #<NUM> HOUSTON TX<NUM>,,,utilities
Bp Hub #<NUM> Austin Tx<NUM>,,,fuel
Airbnb Depot #<NUM> Devner Sea <NUM>,,,other
Apple Itunes <NUM> Tx<NUM>,,,other
Cafe Nero Hub #<NUM> Phoenix Tx<NUM>,,,dining
Bp Center #<NUM> Phoenix La Tx,,,fuel
Shell Retail #<NUM> Denver <NUM>,,,fuel
Blue Apron Outlet #<NUM> Chicago - Outlet,,,dining
Ikea Pos <NUM>,,,shopping
Ikea Pos <NUM> EBILL,,,shopping
Airbnb Station #27 Seattle <NUM> Tx<NUM> CR,,,other
Walmart Grocery Tx<NUM>,,,groceries
ENERGYCO BRANCH #<NUM> LA POS <NUM> DB,,,utilities
BLUE APRON MARKET #<NUM> LA TX<NUM> EBILL,,,dining
