text,label
city electric co market num phoenix num tx num,utilities
macy s outlet num pos,shopping
macy s station num chicago sea tx,shopping
trader joe s outlet num houston den tx,groceries
kroger num db,groceries
target outlet num la tx num online,shopping
apple itunes hub num boston chi tx payment,other
bp hub num austin den num,fuel
cafe nero hub num phoenix den num,dining
macy s station num chicago chi tx,shopping
comcast depot 30 austin bos num ebill,utilities
gas company branch num houston hou tx,utilities
aldi market num phoenix aus tx cr,groceries
cafe nero center num houston num,dining
starbucks market num chicago tx num payment,dining
macy s store num denver branch,shopping
stop shop outlet num chicago branch num payment,groceries
spotify market num seattle chi num auto,other
texaco aus tx,fuel
at t market num seattle pos num ebill,utilities
comcast tx num payment,utilities
circle k station num houston store ebill,fuel
cafe nero hub num phoenix mia num,dining
national grid market num ny market,utilities
spotify branch 3 la den num,other
lidl retail num miami pos num pay,groceries
kroger branch ebill,groceries
cafe nero center num seattle station online,dining
lyft retail num houston num tx num,other
comcast branch num seattle pos num pso,utilities
cafe nero hub num phoenix chi tx pos,dining
ikea chi num,shopping
7 eleven fuel pos num,fuel
verizon num tx num,utilities
costco wholesale hub num la la num mobile,shopping
texaco num,fuel
cafe nero outlet num ny hou tx,dining
bp hub num austin num,fuel
energyco center 30 austin num,utilities
netflix tx num,other
walmart grocery station,groceries
internet provider center num denver branch,utilities
taregt depot num chicago num,shopping
target outlet num la hq,shopping
pizza hut retail num chicago num tx num,dining
costco wholesale hub num boston mia tx,shopping
paypal outlet num denver center,other
comcast branch num seattle pos num,utilities
cafe nero outlet num ny market num,dining
internet provider store num houston tx num,utilities
bp hub num austin tx num,fuel
airbnb depot num devner sea num,other
apple itunes num tx num,other
cafe nero hub num phoenix tx num,dining
bp center num phoenix la tx,fuel
shell retail num denver num,fuel
blue apron outlet num chicago outlet,dining
ikea pos num,shopping
ikea pos num ebill,shopping
airbnb station 27 seattle num tx num cr,other
walmart grocery tx num,groceries
energyco branch num la pos num db,utilities
blue apron market num la tx num ebill,dining
whole foods cafe outlet num,dining
apple itnes sea tx ebill,other
macy s station num chicago branch,shopping
cafe nero outlet num ny num,dining
whole foods market center num seattle mia num,groceries
internet provier station num la num payment,utilities
at t depot num chicago aus num payment,utilities
stop shop ny tx,groceries
7 eleven fuels tore 95 phoenix num ebill,fuel
target store num payment,shopping
spotify branch 3 la outlet,other
netflix market num phoenix pos num ebill,other
publix center 96 miami sea tx,groceries
aldi hub num austin num,groceries
netflix station num phoenix market num,other
starbucks market num seattle num tx num,dining
nordstrom retail num austin station num,shopping
national grid center num ny mia num,utilities
netflix market num phoenix bos num auto,other
paypal num tx num,other
stop shop center,groceries
internet provider depot num austin den tx,utilities
costco wholeale sea tx payment,shopping
lidl branch num austin num tx num,groceries
sunoco hub 9 phoenix center num,fuel
etsy num ebill,shopping
target hub num boston tx num pos,shopping
amazon hub 63 miami sea tx,shopping
macy s store num denver num tx num,shopping
amazon center num miami tx num pay,shopping
blue apron market num boston phx num ebill,dining
starbucks market num chicago ny num cr,dining
uber depot num phoenix num,other
bp branch num boston num tx num,fuel
national grid center num ny center num,utilities
chipotle center,dining
mobil branch,fuel
kfc market 33 la hq,dining
bestbuy retail num phoenix mia num,shopping
stop shop den num cr,groceries
dunkin chi num,dining
energyco hq num,utilities
lidl branch num houston pos num,groceries
arco store num phonix num tx num pay,fuel
pizza hut retail num chicago tx num,dining
whole foods market hub num phoenix pos num auto,groceries
airbnb depot num denver mia tx,other
trader joe s market num houston market,groceries
aldi hub num denver mia tx,groceries
pizza hut branch num boston mia tx online,dining
steam branch num ny store num,other
kroger depot num la num tx num,groceries
steam depot num phoenix num tx num mobile,other
aldi outlet num boston pos num,groceries
gas company branch num denver ny tx,utilities
google play center,other
paypal store num phoenix market num,other
energyco depot num houston num,utilities
blue apron center num chicago ny tx mobile,dining
bestbuy depot num la store,shopping
lyft market num boston branch,other
mobil retail num miami num ebill,fuel
arco store num phoenix chi tx,fuel
chipotle station num houston tsore num,dining
stripe retail num la phx num,other
bp num tx num,fuel
lidl center num miami tx num auto,groceries
energyco center num phoenix den num auto,utilities
gas company pos num,utilities
steam pos num,other
amazon outlet num seattle hq num,shopping
7 eleven fuel store 95 phoenix num tx num,fuel
internet provider retail num la hou num,utilities
publix center num houston pos num,groceries
home depot store num la market,shopping
arco center num austin num,fuel
arco center num austin den num,fuel
comcast branch num seattle mia tx pay,utilities
etsy store num houston outlet num,shopping
lyft branch num boston hq,other
heb depot 7 austin num tx num pay,groceries
shell outlet mobile,fuel
verizon pos num online,utilities
mobil depot num chicago pos num auto,fuel
pizza hut retail num chicago num tx num db,dining
comcast store num la num tx num,utilities
airbnb station num houston num tx num online,other
blue apron center num chicago pos num auto,dining
amazon hub 63 miami market num,shopping
heb phx num,groceries
whole foods market hub num phoenix den tx,groceries
macy s depot num phoenix num tx num,shopping
airbnb num tx num,other
costa coffee branch num seattle hq num,dining
southern electric market num la store num,utilities
blue apron center num chicago num db,dining
home depot station num chicago pos num,shopping
bestbuy depot num la num tx num,shopping
spotify market num seattle bos num,other
bestbuy depot num phoenix num tx num cr,shopping
shell center num,fuel
pizza hut branch num boston branch mobile,dining
comcast branch num seattle hq num,utilities
at t market num seattle station num,utilities
energyco center num ny pos9 num,utilities
starbucks market num chicago phx tx,dining
mobil center num houston hou num,fuel
whole foods cafe market num austin store,dining
walmart center num austin num tx num payment,shopping
starbucks num tx num,dining
steam outlet num phoenix num,other
aldi sea num,groceries
starbucks market num chicago branch,dining
nordstrom store 73 houston num,shopping
texaco branch num ny center,fuel
gas company market num,utilities
apple itunes outlet num denver num ebill,other
mobil ny num pos,fuel
mobil center num houston la tx,fuel
steam store num miami la tx db,other
texaco store num chicago la num,fuel
burger king depot num miami pos num,dining
uber station num chicago la num,other
mobil center num denver tx num,fuel
exxon store num boston market,fuel
sunoco outlet num phoenix num mobile,fuel
blue apron hub num chicago num,dining
steam retail num miami aus tx,other
bp branch num boston num,fuel
at t branch payment,utilities
lyft branch num boston num,other
texaco store 4 phoenix num tx num,fuel
lyft retail num boston phx tx,other
energyco center num phoenix branch pay,utilities
walmart center num austin pos num,shopping
lidl market num denver branch num db,groceries
costco wholesae hub num boston aus tx,shopping
lyft retail num houston center,other
publix mia tx,groceries
starbucks market num chicago pos num,dining
costco wholesale num tx num,shopping
sunoco hub num austin tx num pay,fuel
arco bos num,fuel
kfc station num boston num tx num,dining
national grid center num ny tx num,utilities
paypal store num phoenix aus tx auto,other
spotify market num seattle num tx num,other
steam outlet num phoenix num tx num,other
cafe nero hub num phoenix pos num,dining
exxon outlet num phoenix num tx num,fuel
costco wholesale hub num boston market num,shopping
mobil tx num pay,fuel
netflix store num la station num,other
heb depot 7 austin num,groceries
heb depot 7 austin hq auto,groceries
macy s depot num phoenix station online,shopping
trader joe s market num houston hou tx,groceries
lidl store num austin bos num,groceries
circle k retail num austin ho u num,fuel
blue apron center num chicago tx num ebill,dining
burger king num,dining
lidl hub num boston branch pay,groceries
etsy store num houston store,shopping
lidl pos num,groceries
comcast market num miami hou tx,utilities
airbnb station num houston num x num db,other
pizza hut store num boston tx num,dining
chipotle outlet num la tx num,dining
at t market num phoenix outlet num,utilities
spotify num tx num,other
energyco tx num,utilities
dunkin store num denver chi num online,dining
nordstrom ny tx auto,shopping
starbucks market num seattle la tx,dining
stop shop pos num mobile,groceries
uber station num miami ny tx,other
internet provider station num la pos num,utilities
burger king depot num miami tx num online,dining
pizza hut depot num ny phx num,dining
apple itunes hub num boston num tx num,other
water works ltd retail num miami num tx num,utilities
macy s pos num cr,shopping
texaco store num chicago la tx cr,fuel
cafe nero hub num phoenix station num,dining
circle k pos num,fuel
internet provider store num houton tx num,utilities
lyft station num payment,other
paypal num,other
circle k center num ny tx num,fuel
airbnb den num,other
7 eleven fuel market num boston station num,fuel
ikea hub num ny num,shopping
bp center num phoenix tx num online,fuel
lyft depot 76 austin mia num online,other
spotify center num seattle branch num,other
bestbuy depot num boston tx num,shopping
southern electric depot num houston station,utilities
internet provider depot num denver pos num online,utilities
spotify market num seattle station num,other
cafe nero station num boston tx num,dining
netflix ny num,other
blue apron store num la num pay,dining
spotify branch 3 la market,other
trader joe s pos num,groceries
southern electric depot num houston outlet,utilities
lyft depot 76 austin chi tx,other
shell retail num denver num auto,fuel
energyco center num phoenix num tx num payment,utilities
gas company branch num houston tx num,utilities
cafe nero center num seattle den tx payment,dining
stop shop retail num denver tx num auto,groceries
macy s num tx num,shopping
city electric co num,utilities
shell outlet num la tx num ebill,fuel
comcast branch num seattle station,utilities
heb bos num auto,groceries
pizza hut branch num boston market num cr,dining
stripe phx num online,other
at t pos num,utilities
blue apron outlet num chicago pos num,dining
whole foods cafe ny num,dining
nordstrom retail num austin bos num,shopping
comcast outlet num miami tx num,utilities
kroger store 48 chicago num tx num mobile,groceries
lidl market num seattle den num,groceries
cafe nero center num houston outlet num,dining
steam depot num seattle branch num ebill,other
lidl hub num boston center online,groceries
pizza hut store num boston num tx num,dining
exxon store num boston ny tx,fuel
spotify depot num austin branch,other
internet provider station num la phx num,utilities
target hub num boston num,shopping
circle k retail num austin store,fuel
publix center num houston tx num,groceries
heb station payment,groceries
chipotle mia num,dining
verizon branch num denver la tx,utilities
amazon sea num,shopping
exxon market num l market,fuel
paypal branch 74 phoenix ny num,other
cafe nero outlet num austin num,dining
energyco branch num,utilities
spotify branch 3 la tx num mobile,other
spotify station 47 chicago ny num,other
netflix center num denver hq num,other
blue apron bos num,dining
water works ltd outlet,utilities
safeway station num houston market 86,groceries
mobil depot num chicago station,fuel
stripe station num denver tx num,other
blue apron hub num chicago bos tx,dining
safeway branch num boston ny tx,groceries
walmart grocery station num phoenix num,groceries
shell retail num denver store num,fuel
aldi outlet num boston tx num,groceries
stop shop outlet num chicago la tx,groceries
at t market num seattle num tx num,utilities
stop shop pos num,groceries
arco sea tx,fuel
blue apron outlet num pheonix num tx num,dining
target hub num boston pos num payment,shopping
lyft pos num auto,other
kroger depot num la tx num,groceries
whole foods cafe num tx num,dining
ikea store,shopping
paypal outlet num denver hq num pay,other
starbucks num pay,dining
arco outlet,fuel
walmart center num austin store num,shopping
a t mia tx,utilities
gas company branch num denver market,utilities
target outlet num la market num,shopping
safeway chi tx,groceries
stripe retail num la num tx num ebill,other
lyft market num boston store,other
amazon outlet num houston tx num auto,shopping
papal branch 74 phoenix num tx num ebill,other
costa coffee branch num seattle den tx,dining
publix num pos,groceries
bestbuy depot num la sea tx,shopping
steam depot num phoenix hou tx,other
netflix market num phoenix pos num,other
shell retail num denver station num,fuel
southern electric market num la la num,utilities
7 eleven fuel station num seattle tx num,fuel
bestbuy bos tx,shopping
steam station num boston aus tx,other
energyco center num phoenix num tx num,utilities
publix branch num denver aus num,groceries
spotify depot 91 austin station,other
nordstrom aus num,shopping
mobil center num houston num tx num payment,fuel
texaco branch num ny pos num,fuel
burger king depot num miami pos num online,dining
lidl branch num houston tx num,groceries
mobil 65 tx num payment,fuel
arco store num houston num,fuel
energyco depot num houston market num,utilities
bp depot num ny pos num,fuel
uber depot num phoenix num tx num db,other
blue apron ny num,dining
cafe nero center num houston outlet,dining
lidl hub num boston market num,groceries
chipotle store num,dining
comcast store num la tx num,utilities
spotify depot num austin pos num,other
city electric co retail 88 boston num pos,utilities
ikea branch num,shopping
apple itunes hub num boston market,other
comcast station num miami phx tx,utilities
lidl market num seattle hq num,groceries
ikea store num ny hou num payment,shopping
publix center 96 miami pos num online,groceries
costa coffee station num miami num tx num payment,dining
blue apron market num la num tx num,dining
bestbuy depot num phoenix tx num,shopping
safeway station num houston store 61,groceries
publix center 96 miami num tx num pay,groceries
circle k center num ny aus num,fuel
kfc station num boston tx num,dining
cafe nero outlet num ny store num,dining
amazon center num miami station,shopping
circle k retail num austin center num ebill,fuel
ikea den tx auto,shopping
city electric co hq,utilities
gas company station num boston pos num,utilities
sunoco outlet num phoenix center,fuel
comcast num tx num,utilities
southern electric depot num houston tx num,utilities
trader joe s market num houston aus tx db,groceries
kroger depot 80 phoenix pos num ebill,groceries
netflix center num denver center,other
mobil depot num chicago hq,fuel
safeway branch num boston num,groceries
texaco store 4 phoenix hq,fuel
national grid center num ny ny num,utilities
shell tx num ebill,fuel
chipotle retail num ny pos num,dining
exxon hq,fuel
ikea hub num denver pos num,shopping
krogr den tx cr,groceries
macy s depto num boston den num,shopping
dunkin store num denver ny tx,dining
internet provider station num settle hou tx,utilities
bugrer king market,dining
verizon market num ny pos num,utilities
walmart grocery station num phoenix phx tx,groceries
paypal branch 74 phoenix pos num,other
exxon outlet num phoenix num tx num pay,fuel
mobil retail num miami pos num pay,fuel
pizza hut ny tx auto,dining
arco center num austin sea tx,fuel
energyco outlet num ny num auto,utilities
publix branch 72 denver pos num pos,groceries
mobil center num denver pos num online,fuel
apple itunes pos num online,other
trader oje s pos num,groceries
pizza hut store num boston num,dining
bp depot num ny tx num,fuel
paypal branch 74 phoenix num tx num,other
internet provider center num denver bos num,utilities
chipotle station num la num tx num pay,dining
chipotle num tx num mobile,dining
pizza hut branch num boston sea num,dining
aldi hub num austin num tx num,groceries
national grid phx num,utilities
cafe nero station num boston branch,dining
lyft tx num,other
blue apron store num la den num online,dining
kfc market 33 la outlet num mobile,dining
dunkni pos num,dining
cafe nero hub num phoenix num tx num,dining
stop shop hub num boston sea tx pos,groceries
chpotle station,dining
arco outlet num la chi num,fuel
lidl branch num houston market auto,groceries
circle k station num chicago num,fuel
stop shop hub num boston pos num ebill,groceries
internet provider retail num la station,utilities
gas company branch num denver num,utilities
chipotle station num houston tx num,dining
exxon market num la num tx num,fuel
etsy pos num,shopping
mobil branch num austin hou tx db,fuel
lidl store num austin tx num,groceries
stripe retail num phoenix branch,other
stripe retail num la aus tx pos,other
aldi chi num mobile,groceries
amazon maret 3 chicago hou tx,shopping
spotify center num seattle pos num pos,other
sunoco outlet num phoenix la tx,fuel
at t market num phoenix market,utilities
costa coffee depot num austin hou tx,dining
home depot station num houston center auto,shopping
bestbuy retail num phoenix pos num payment,shopping
stripe retail num phoenix ny num mobile,other
starbucks num,dining
kroger hub num phoenix tx num pos,groceries
arco store num houston la tx,fuel
nordstrom store 73 houston bos tx pay,shopping
dunkin pos num,dining
amazon outlet num boston store num,shopping
internet provider station num seattle pos num,utilities
lidl num tx num,groceries
netflix store num la market num auto,other
comcast outlet num miami num,utilities
energyco branch num la store,utilities
bestbuy outlet num austin la tx,shopping
water works ltd store num ny outlet num,utilities
costa coffee la tx,dining
whole foods market hub num phoenix num,groceries
macy s station num chicago num,shopping
national grid center num ny la num,utilities
steam retail num miami tx num,other
target outlet num la num,shopping
blue apron hub num chicago tx num,dining
stripe retail num la num,other
aldi market num phoenix num tx num online,groceries
chipotle station num la mia tx,dining
home depot outlet num ny num online,shopping
blue apron market num boston la num,dining
lyft retail num boston num pos,other
energyco center num phoenix la num,utilities
cafe nero hub num phoenix sea tx,dining
starbucks market num seattle num auto,dining
circle k station num chicago store,fuel
kfc store num miami pos num,dining
lidl market num seattle phx num,groceries
lyft branch num boston mia num,other
home depot outlet num ny la tx pay,shopping
steam branch num ny num tx num online,other
